1	的	3244537	3.71868396926 de/di2/di4	(possessive particle)/of, really and truly, aim/clear
2	一	1646186	5.60543868606	yi1	one/1/single/a(n)
3	了	1380375	7.18753757539 le/liao3/liao4	(modal particle intensifying preceding clause)/(completed action marker), to know/to understand/to know, clear, look afar from a high place
4	是	1327443	8.70896913995	shi4	is/are/am/yes/to be
5	不	1285160	10.1819385929	bu4/bu2	(negative prefix)/not/no
6	我	1087588	11.4284634625	wo3	I/me/myself
7	他	992169	12.5656250837	ta1	he/him
8	在	893208	13.5893638393	zai4	(located) at/in/exist
9	人	886010	14.6048527006	ren2	man/person/people
10	有	805014	15.5275090478	you3	to have/there is/there are/to exist/to be
11	这	788581	16.4313309254	zhe4/zhei4	this/these, this/these/(sometimes used before a measure word, especially in Beijing)
12	来	653533	17.1803692906	lai2	to come
13	个	605892	17.8748045421	ge4	(a measure word)/individual
14	说	577395	18.5365783269	shui4/shuo1	persuade (politically), to speak/to say
15	上	571537	19.191638041	shang4	on/on top/upon/first (of two parts)/previous or last (week, etc.)/upper/higher/above/previous/to climb/to go into/above/to go up
16	你	539232	19.8096717987	ni3	you
17	们	535514	20.423444219	men	(plural marker for pronouns and a few animate nouns)
18	到	524614	21.0247237457	dao4	to (a place)/until (a time)/up to/to go/to arrive
19	地	488181	21.5842460624	de/di4	(subor. part. adverbial)/-ly, earth/ground/field/place/land
20	大	481685	22.136323073	da4/dai4	big/huge/large/major/great/wide/deep/oldest/eldest, doctor
21	着	468988	22.6738475819	zhao1/zhao2/zhe/zhu4/zhuo2	catch/receive/suffer, part. indicates the successful result of a verb/to touch/to come in contact with/to feel/to be affected by/to catch fire/to fall asleep/to burn, -ing part. (indicates an action in progress)/part. coverb-forming after some verbs, to make known/to show/to prove/to write/book/outstanding, to wear (clothes)/to contact/to use/to apply
22	子	439668	23.1777673533	zi3/zi	11 p.m.-1 a.m./1st earthly branch/child/midnight/son/child/seed/egg/small thing, (noun suff.)
23	那	429478	23.6700079885	na3/na4/nei4	how/which, that/those, that/those/(sometimes used before a measure word, especially in Beijing)
24	就	417364	24.1483643198	jiu4	at once/then/right away/only/(emphasis)/to approach/to move towards/to undertake
25	也	407287	24.6151710283	ye3	also/too
26	时	381728	25.0526836208	shi2	o'clock/time/when/hour/season/period
27	道	369507	25.4761892727	dao4	direction/way/method/road/path/principle/truth/reason/skill/method/Tao (of Taoism)/a measure word/to say/to speak/to talk
28	中	368320	25.89833446	zhong1/zhong4	within/among/in/middle/center/while (doing sth)/during/China/Chinese, hit (the mark)
29	出	364399	26.3159856441	chu1	to go out/to come out/to occur/to produce/to go beyond/to rise/to put forth/to occur/to happen/(a measure word for dramas, plays, or operas)
30	得	363610	26.732732526	de2/de/dei3	obtain/get/gain/proper/suitable/proud/contented/allow/permit/ready/finished, a sentence particle used after a verb to show effect/degree or possibility, to have to/must/ought to/to need to
31	为	362196	27.1478587702	wei2/wei4	act as/take...to be/to be/to do/to serve as/to become, because of/for/to
32	里	360490	27.5610297046	li3	inside/internal/interior, village/within/inside, Chinese mile/neighborhood/li, a Chinese unit of length = one-half kilometer/hometown
33	下	359999	27.9736378858	xia4	under/second (of two parts)/next (week, etc.)/lower/below/underneath/down(wards)/to decline/to go down/latter
34	她	342946	28.3667009923	ta1	she
35	要	339256	28.7555348533	yao1/yao4	demand/ask/request/coerce, important/vital/to want/to be going to/must
36	么	338078	29.1430185648	ma/me/yao1	(interrog. part.), (interrog. suff.), one on dice/small
37	去	337256	29.5295601517	qu4	to go/to leave/to remove
38	可	320065	29.8963984971	ke3	can/may/able to/certain(ly)/to suit/(particle used for emphasis)
39	以	318797	30.2617835407	yi3	to use/according to/so as to/in order to/by/with/because/Israel (abbrev.)
